VersionInfo.ProductName,VersionInfo.ProductVersion,VersionInfo.FileVersion,OpenArrayPlate.SerialNumber,OpenArrayPlate.ChipTransformsApplied,Assay.Assay ID,Assay.Assay Number,Assay.TaqMan Assay ID,Assay.Assay Name,Assay.Assay Type,Assay.Assay Pool,Assay.AmplificationCurveDyeNames.0,ThroughHole.Ct,ThroughHole.Concentration,ThroughHole.ConcentrationUnit,ThroughHole.Outlier,ThroughHole.CtConfidence,ThroughHole.Tm,ThroughHole.TmData.Area,ThroughHole.Address,ThroughHole.IntensityData.ROX.1,ThroughHole.IntensityData.FAMTP.1,SamplePlate.SerialNumber,SampleInfo.SampleID,SampleInfo.Description,SampleInfo.Dilution
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001186_mmu-miR-134,45,TM001186,mmu-miR-134,TARG,A,FAMTP,40,,,FALSE,62.6707759,,0,A10b5,215.574745,2839.249604,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001187_mmu-miR-140,46,TM001187,mmu-miR-140,TARG,A,FAMTP,40,,,FALSE,182.4652367,,0,A10b6,292.5435559,3530.915219,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001187_mmu-miR-140,46,TM001187,mmu-miR-140,TARG,A,FAMTP,40,,,FALSE,220.7111117,,0,A10b6,221.4978745,3387.093177,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000460_hsa-miR-135a,47,TM000460,hsa-miR-135a,TARG,A,FAMTP,21.544,,,FALSE,663.3305914,,0,A10b7,264.7226942,3692.97779,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000460_hsa-miR-135a,47,TM000460,hsa-miR-135a,TARG,A,FAMTP,32.3,,,FALSE,308.2118738,,0,A10b7,205.4689059,3471.851188,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002599_mmu-miR-182,48,TM002599,mmu-miR-182,TARG,A,FAMTP,15.765,,,FALSE,1507.108722,,0,A10b8,265.0134528,4282.879485,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002599_mmu-miR-182,48,TM002599,mmu-miR-182,TARG,A,FAMTP,16.951,,,FALSE,1197.19472,,0,A10b8,219.6183136,3191.025197,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002246_hsa-miR-133a,73,TM002246,hsa-miR-133a,TARG,A,FAMTP,14.308,,,FALSE,686.1030023,,0,A10c1,304.4730848,3431.611971,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002246_hsa-miR-133a,73,TM002246,hsa-miR-133a,TARG,A,FAMTP,19.666,,,FALSE,371.562617,,0,A10c1,247.2582724,3441.649346,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000477_hsa-miR-154,74,TM000477,hsa-miR-154,TARG,A,FAMTP,40,,,FALSE,76.098596,,0,A10c2,299.835519,2826.355474,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000477_hsa-miR-154,74,TM000477,hsa-miR-154,TARG,A,FAMTP,40,,,FALSE,0,,0,A10c2,260.9250372,2927.534396,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002262_hsa-miR-147b,75,TM002262,hsa-miR-147b,TARG,A,FAMTP,21.667,,,FALSE,480.5142257,,0,A10c3,291.5246589,3545.97429,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002262_hsa-miR-147b,75,TM002262,hsa-miR-147b,TARG,A,FAMTP,23.975,,,FALSE,587.511036,,0,A10c3,229.4268424,3339.872046,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000480_hsa-miR-181a,76,TM000480,hsa-miR-181a,TARG,A,FAMTP,16.685,,,FALSE,623.0792418,,0,A10c4,287.9279279,2952.588312,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000480_hsa-miR-181a,76,TM000480,hsa-miR-181a,TARG,A,FAMTP,40,,,FALSE,269.529702,,0,A10c4,237.6525862,3185.311273,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000470_hsa-miR-148a,77,TM000470,hsa-miR-148a,TARG,A,FAMTP,14.973,,,FALSE,713.9113266,,0,A10c5,309.3775117,4013.806264,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000470_hsa-miR-148a,77,TM000470,hsa-miR-148a,TARG,A,FAMTP,19.109,,,FALSE,350.8444155,,0,A10c5,230.783674,3563.307319,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000482_hsa-miR-181c,78,TM000482,hsa-miR-181c,TARG,A,FAMTP,18.005,,,FALSE,673.5037149,,0,A10c6,285.5160177,3721.294735,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000482_hsa-miR-181c,78,TM000482,hsa-miR-181c,TARG,A,FAMTP,40,,,FALSE,258.7215594,,0,A10c6,242.5385722,3758.046462,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000471_hsa-miR-148b,79,TM000471,hsa-miR-148b,TARG,A,FAMTP,20.295,,,FALSE,534.0726192,,0,A10c7,297.5697889,3361.311084,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000471_hsa-miR-148b,79,TM000471,hsa-miR-148b,TARG,A,FAMTP,23.896,,,FALSE,473.8583009,,0,A10c7,235.1404755,3272.009859,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001352_mmu-miR-499,80,TM001352,mmu-miR-499,TARG,A,FAMTP,40,,,FALSE,51.45723378,,0,A10c8,278.4765065,3246.633634,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001352_mmu-miR-499,80,TM001352,mmu-miR-499,TARG,A,FAMTP,40,,,FALSE,50.57573455,,0,A10c8,232.473735,3279.557081,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001097_hsa-miR-146b,105,TM001097,hsa-miR-146b,TARG,A,FAMTP,40,,,FALSE,51.46918286,,0,A10d1,327.0470709,3736.730244,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001097_hsa-miR-146b,105,TM001097,hsa-miR-146b,TARG,A,FAMTP,40,,,FALSE,27.00928497,,0,A10d1,265.2320513,3617.208981,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000338_ath-miR159a,890,TM000338,ath-miR159a,ENDO,B,FAMTP,40,,,FALSE,15.45421137,,0,A10d2,310.3505579,4117.174855,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000338_ath-miR159a,890,TM000338,ath-miR159a,ENDO,B,FAMTP,40,,,FALSE,0,,0,A10d2,279.0055984,4381.012976,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002588_mmu-miR-470,107,TM002588,mmu-miR-470,TARG,A,FAMTP,40,,,FALSE,46.08429128,,0,A10d3,300.2858352,4020.227974,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002588_mmu-miR-470,107,TM002588,mmu-miR-470,TARG,A,FAMTP,40,,,FALSE,42.94843236,,0,A10d3,247.9455749,4016.579395,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001663_mmu-miR-495,108,TM001663,mmu-miR-495,TARG,A,FAMTP,21.714,,,FALSE,667.5285035,,0,A10d4,306.8831705,3332.431689,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001663_mmu-miR-495,108,TM001663,mmu-miR-495,TARG,A,FAMTP,40,,,FALSE,214.52886,,0,A10d4,243.6625608,3359.984003,GPK57,C2,mutant,1
