Chip Run Filename,R:\ChipRun.bml
Application Version,2.1.1
Application Build,20090521.1135
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S04-A30,preamp neat,Unknown,50,HPRT,Test,10.660490436014,0.86,Pass,0.054349316579291
S04-A31,preamp neat,Unknown,50,HPRT,Test,10.569379152583,0.85,Pass,0.054349316579291
S04-A32,preamp neat,Unknown,50,HPRT,Test,10.5746594786921,0.89,Pass,0.054349316579291
S04-A33,preamp neat,Unknown,50,HPRT,Test,10.6975642158669,0.91,Pass,0.054349316579291
S04-A34,preamp neat,Unknown,50,HPRT,Test,10.7188925143695,0.93,Pass,0.054349316579291
S04-A35,preamp neat,Unknown,50,HPRT,Test,10.4687878739141,0.85,Pass,0.054349316579291
S04-A36,preamp neat,Unknown,50,HPRT,Test,10.2288467166014,0.91,Pass,0.054349316579291
S04-A37,preamp neat,Unknown,50,SDHA,Test,12.5629403741508,0.91,Pass,0.054349316579291
S04-A38,preamp neat,Unknown,50,SDHA,Test,12.2207733789641,0.91,Pass,0.054349316579291
S04-A39,preamp neat,Unknown,50,SDHA,Test,11.9109888194822,0.92,Pass,0.054349316579291
S04-A40,preamp neat,Unknown,50,SDHA,Test,12.500250995238,0.91,Pass,0.054349316579291
S04-A41,preamp neat,Unknown,50,SDHA,Test,12.0242091371109,0.87,Pass,0.054349316579291
S04-A42,preamp neat,Unknown,50,SDHA,Test,12.0576532802754,0.9,Pass,0.054349316579291
S04-A43,preamp neat,Unknown,50,SDHA,Test,12.3071233019587,0.89,Pass,0.054349316579291
S04-A44,preamp neat,Unknown,50,SDHA,Test,11.9909069782678,0.91,Pass,0.054349316579291
S04-A45,preamp neat,Unknown,50,SDHA,Test,11.6980750092543,0.91,Pass,0.054349316579291
S04-A46,preamp neat,Unknown,50,SDHA,Test,11.9574916537423,0.9,Pass,0.054349316579291
S04-A47,preamp neat,Unknown,50,SDHA,Test,11.8074643083646,0.87,Pass,0.054349316579291
S04-A48,preamp neat,Unknown,50,SDHA,Test,11.5537124785248,0.93,Pass,0.054349316579291
S42-A01,no preamp,Unknown,0.5,b actin,Test,26.4486823366282,0.9,Pass,0.054349316579291
S42-A02,no preamp,Unknown,0.5,b actin,Test,26.4455343763685,0.89,Pass,0.054349316579291
S42-A03,no preamp,Unknown,0.5,b actin,Test,27.487008809502,0.88,Pass,0.054349316579291
S42-A04,no preamp,Unknown,0.5,b actin,Test,26.1147311359587,0.87,Pass,0.054349316579291
S42-A05,no preamp,Unknown,0.5,b actin,Test,25.9012750638421,0.87,Pass,0.054349316579291
S42-A06,no preamp,Unknown,0.5,b actin,Test,25.71600666495,0.87,Pass,0.054349316579291
S42-A07,no preamp,Unknown,0.5,b actin,Test,26.1423135237654,0.86,Pass,0.054349316579291
S42-A08,no preamp,Unknown,0.5,b actin,Test,25.2992393268141,0.86,Pass,0.054349316579291
S42-A09,no preamp,Unknown,0.5,b actin,Test,26.1104975818482,0.86,Pass,0.054349316579291
S42-A10,no preamp,Unknown,0.5,b actin,Test,26.0770638826625,0.85,Pass,0.054349316579291
S42-A11,no preamp,Unknown,0.5,b actin,Test,26.0004629148275,0.86,Pass,0.054349316579291
S42-A12,no preamp,Unknown,0.5,b actin,Test,25.6934028536534,0.87,Pass,0.054349316579291
S42-A13,no preamp,Unknown,0.5,GAPDH,Test,21.1107602667775,0.93,Pass,0.054349316579291
S42-A14,no preamp,Unknown,0.5,GAPDH,Test,20.7964121606805,0.93,Pass,0.054349316579291
S42-A15,no preamp,Unknown,0.5,GAPDH,Test,20.5012532881336,0.93,Pass,0.054349316579291
S42-A16,no preamp,Unknown,0.5,GAPDH,Test,20.7698041366939,0.94,Pass,0.054349316579291
S42-A17,no preamp,Unknown,0.5,GAPDH,Test,20.6420170474804,0.94,Pass,0.054349316579291
S42-A18,no preamp,Unknown,0.5,GAPDH,Test,20.2796351785251,0.92,Pass,0.054349316579291
S42-A19,no preamp,Unknown,0.5,GAPDH,Test,20.8967701023854,0.93,Pass,0.054349316579291
S42-A20,no preamp,Unknown,0.5,GAPDH,Test,20.5387890988222,0.93,Pass,0.054349316579291
S42-A21,no preamp,Unknown,0.5,GAPDH,Test,20.188325393931,0.92,Pass,0.054349316579291
S42-A22,no preamp,Unknown,0.5,GAPDH,Test,20.9388329475377,0.94,Pass,0.054349316579291
S42-A23,no preamp,Unknown,0.5,GAPDH,Test,20.8155125244588,0.93,Pass,0.054349316579291
S42-A24,no preamp,Unknown,0.5,GAPDH,Test,20.2566920344081,0.93,Pass,0.054349316579291
S42-A25,no preamp,Unknown,0.5,HPRT,Test,27.3497866712003,0.86,Pass,0.054349316579291
S42-A26,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S42-A27,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S42-A28,no preamp,Unknown,0.5,HPRT,Test,28.325485476299,0.89,Pass,0.054349316579291
S42-A29,no preamp,Unknown,0.5,HPRT,Test,28.4467181555145,0.89,Pass,0.054349316579291
S42-A30,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S42-A31,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S42-A32,no preamp,Unknown,0.5,HPRT,Test,26.5197637925078,0.88,Pass,0.054349316579291
S42-A33,no preamp,Unknown,0.5,HPRT,Test,27.1397384845278,0.89,Pass,0.054349316579291
S42-A34,no preamp,Unknown,0.5,HPRT,Test,28.343881837945,0.9,Pass,0.054349316579291
S42-A35,no preamp,Unknown,0.5,HPRT,Test,27.4196331067168,0.89,Pass,0.054349316579291
S42-A36,no preamp,Unknown,0.5,HPRT,Test,26.5050483729425,0.87,Pass,0.054349316579291
S42-A37,no preamp,Unknown,0.5,SDHA,Test,30.2810391073079,0.84,Pass,0.054349316579291
S42-A38,no preamp,Unknown,0.5,SDHA,Test,31.1756129660449,0.68,Pass,0.054349316579291
S42-A39,no preamp,Unknown,0.5,SDHA,Test,29.2511627359342,0.84,Pass,0.054349316579291
S42-A40,no preamp,Unknown,0.5,SDHA,Test,29.6898394108926,0.82,Pass,0.054349316579291
S42-A41,no preamp,Unknown,0.5,SDHA,Test,28.9486973004152,0.86,Pass,0.054349316579291
S42-A42,no preamp,Unknown,0.5,SDHA,Test,28.7470341841507,0.84,Pass,0.054349316579291
S42-A43,no preamp,Unknown,0.5,SDHA,Test,30.0616962333598,0.85,Pass,0.054349316579291
S42-A44,no preamp,Unknown,0.5,SDHA,Test,28.2257291543749,0.84,Pass,0.054349316579291
S42-A45,no preamp,Unknown,0.5,SDHA,Test,30.0555859551875,0.75,Pass,0.054349316579291
S42-A46,no preamp,Unknown,0.5,SDHA,Test,29.8481420572096,0.84,Pass,0.054349316579291
S42-A47,no preamp,Unknown,0.5,SDHA,Test,29.2196148433735,0.81,Pass,0.054349316579291
S42-A48,no preamp,Unknown,0.5,SDHA,Test,30.0415284428479,0.82,Pass,0.054349316579291
S09-A01,preamp 1:10,Unknown,5,b actin,Test,13.8919742608945,0.89,Pass,0.054349316579291
S09-A02,preamp 1:10,Unknown,5,b actin,Test,14.0711331876672,0.87,Pass,0.054349316579291
S09-A03,preamp 1:10,Unknown,5,b actin,Test,13.7356035517808,0.85,Pass,0.054349316579291
S09-A04,preamp 1:10,Unknown,5,b actin,Test,14.2493842066183,0.85,Pass,0.054349316579291
S09-A05,preamp 1:10,Unknown,5,b actin,Test,13.7915895372227,0.8,Pass,0.054349316579291
S09-A06,preamp 1:10,Unknown,5,b actin,Test,13.5211758860921,0.83,Pass,0.054349316579291
S09-A07,preamp 1:10,Unknown,5,b actin,Test,14.0341878127698,0.83,Pass,0.054349316579291
S09-A08,preamp 1:10,Unknown,5,b actin,Test,13.9434622262004,0.82,Pass,0.054349316579291
S09-A09,preamp 1:10,Unknown,5,b actin,Test,13.779922146519,0.81,Pass,0.054349316579291
S09-A10,preamp 1:10,Unknown,5,b actin,Test,14.1329991390325,0.86,Pass,0.054349316579291
S09-A11,preamp 1:10,Unknown,5,b actin,Test,13.9568835758132,0.84,Pass,0.054349316579291
S09-A12,preamp 1:10,Unknown,5,b actin,Test,13.6468288916965,0.83,Pass,0.054349316579291
S09-A13,preamp 1:10,Unknown,5,GAPDH,Test,10.5319670456693,0.8,Pass,0.054349316579291
S09-A14,preamp 1:10,Unknown,5,GAPDH,Test,10.4627619036323,0.8,Pass,0.054349316579291
S09-A15,preamp 1:10,Unknown,5,GAPDH,Test,10.121626851927,0.8,Pass,0.054349316579291
S09-A16,preamp 1:10,Unknown,5,GAPDH,Test,10.5987701160473,0.81,Pass,0.054349316579291
S09-A17,preamp 1:10,Unknown,5,GAPDH,Test,10.4846837149596,0.81,Pass,0.054349316579291
S09-A18,preamp 1:10,Unknown,5,GAPDH,Test,10.0591921283199,0.81,Pass,0.054349316579291
S09-A19,preamp 1:10,Unknown,5,GAPDH,Test,10.5815670113384,0.79,Pass,0.054349316579291
S09-A20,preamp 1:10,Unknown,5,GAPDH,Test,10.3596162665767,0.8,Pass,0.054349316579291
S09-A21,preamp 1:10,Unknown,5,GAPDH,Test,10.0679624843609,0.8,Pass,0.054349316579291
S09-A22,preamp 1:10,Unknown,5,GAPDH,Test,10.531956072198,0.78,Pass,0.054349316579291
S09-A23,preamp 1:10,Unknown,5,GAPDH,Test,10.2730645192987,0.8,Pass,0.054349316579291
S09-A24,preamp 1:10,Unknown,5,GAPDH,Test,10.0314690720299,0.8,Pass,0.054349316579291
S09-A25,preamp 1:10,Unknown,5,HPRT,Test,16.3509100233633,0.86,Pass,0.054349316579291
S09-A26,preamp 1:10,Unknown,5,HPRT,Test,16.209678799475,0.88,Pass,0.054349316579291
S09-A27,preamp 1:10,Unknown,5,HPRT,Test,16.0394187308003,0.88,Pass,0.054349316579291
S09-A28,preamp 1:10,Unknown,5,HPRT,Test,16.1120114434793,0.9,Pass,0.054349316579291
S09-A29,preamp 1:10,Unknown,5,HPRT,Test,16.5379608699198,0.85,Pass,0.054349316579291
S09-A30,preamp 1:10,Unknown,5,HPRT,Test,16.2118089979618,0.88,Pass,0.054349316579291
S09-A31,preamp 1:10,Unknown,5,HPRT,Test,16.1643057890859,0.85,Pass,0.054349316579291
S09-A32,preamp 1:10,Unknown,5,HPRT,Test,16.143555620646,0.87,Pass,0.054349316579291
S09-A33,preamp 1:10,Unknown,5,HPRT,Test,16.3538852475625,0.82,Pass,0.054349316579291
S09-A34,preamp 1:10,Unknown,5,HPRT,Test,16.4223126131496,0.88,Pass,0.054349316579291
S09-A35,preamp 1:10,Unknown,5,HPRT,Test,16.2329480275886,0.82,Pass,0.054349316579291
S09-A36,preamp 1:10,Unknown,5,HPRT,Test,15.819670956825,0.86,Pass,0.054349316579291
S09-A37,preamp 1:10,Unknown,5,SDHA,Test,18.1917855604505,0.91,Pass,0.054349316579291
S09-A38,preamp 1:10,Unknown,5,SDHA,Test,17.8522521137052,0.92,Pass,0.054349316579291
S09-A39,preamp 1:10,Unknown,5,SDHA,Test,17.4472323100352,0.91,Pass,0.054349316579291
S09-A40,preamp 1:10,Unknown,5,SDHA,Test,18.1940112849774,0.92,Pass,0.054349316579291
S09-A41,preamp 1:10,Unknown,5,SDHA,Test,17.6892032368058,0.9,Pass,0.054349316579291
S09-A42,preamp 1:10,Unknown,5,SDHA,Test,17.8146131198291,0.92,Pass,0.054349316579291
S09-A43,preamp 1:10,Unknown,5,SDHA,Test,18.0606003132757,0.89,Pass,0.054349316579291
S09-A44,preamp 1:10,Unknown,5,SDHA,Test,17.8093861876401,0.92,Pass,0.054349316579291
S09-A45,preamp 1:10,Unknown,5,SDHA,Test,17.6238369690505,0.92,Pass,0.054349316579291
S09-A46,preamp 1:10,Unknown,5,SDHA,Test,17.8290655126941,0.92,Pass,0.054349316579291
S09-A47,preamp 1:10,Unknown,5,SDHA,Test,17.4666357044678,0.92,Pass,0.054349316579291
S09-A48,preamp 1:10,Unknown,5,SDHA,Test,17.2191890197475,0.92,Pass,0.054349316579291
S41-A01,no preamp,Unknown,0.5,b actin,Test,28.0310950189437,0.91,Pass,0.054349316579291
S41-A02,no preamp,Unknown,0.5,b actin,Test,26.6707942429537,0.88,Pass,0.054349316579291
S41-A03,no preamp,Unknown,0.5,b actin,Test,26.6802690168563,0.88,Pass,0.054349316579291
S41-A04,no preamp,Unknown,0.5,b actin,Test,27.433494866124,0.87,Pass,0.054349316579291
S41-A05,no preamp,Unknown,0.5,b actin,Test,26.1340923230511,0.87,Pass,0.054349316579291
S41-A06,no preamp,Unknown,0.5,b actin,Test,25.1395014303047,0.87,Pass,0.054349316579291
S41-A07,no preamp,Unknown,0.5,b actin,Test,26.8105003322853,0.87,Pass,0.054349316579291
S41-A08,no preamp,Unknown,0.5,b actin,Test,26.6662516041567,0.87,Pass,0.054349316579291
S41-A09,no preamp,Unknown,0.5,b actin,Test,26.3275057971841,0.87,Pass,0.054349316579291
S41-A10,no preamp,Unknown,0.5,b actin,Test,25.9080834405873,0.82,Pass,0.054349316579291
S41-A11,no preamp,Unknown,0.5,b actin,Test,26.4689870242748,0.86,Pass,0.054349316579291
S41-A12,no preamp,Unknown,0.5,b actin,Test,26.5903855719604,0.87,Pass,0.054349316579291
S41-A13,no preamp,Unknown,0.5,GAPDH,Test,21.0331981579539,0.93,Pass,0.054349316579291
S41-A14,no preamp,Unknown,0.5,GAPDH,Test,21.1250116793189,0.94,Pass,0.054349316579291
S41-A15,no preamp,Unknown,0.5,GAPDH,Test,20.6291902374412,0.93,Pass,0.054349316579291
S41-A16,no preamp,Unknown,0.5,GAPDH,Test,20.9348476952032,0.94,Pass,0.054349316579291
S41-A17,no preamp,Unknown,0.5,GAPDH,Test,21.0128077112767,0.94,Pass,0.054349316579291
S41-A18,no preamp,Unknown,0.5,GAPDH,Test,20.8618324905892,0.92,Pass,0.054349316579291
S41-A19,no preamp,Unknown,0.5,GAPDH,Test,21.2254731682134,0.94,Pass,0.054349316579291
S41-A20,no preamp,Unknown,0.5,GAPDH,Test,20.8095493404999,0.94,Pass,0.054349316579291
S41-A21,no preamp,Unknown,0.5,GAPDH,Test,20.6790985507136,0.93,Pass,0.054349316579291
S41-A22,no preamp,Unknown,0.5,GAPDH,Test,21.1325695709344,0.93,Pass,0.054349316579291
S41-A23,no preamp,Unknown,0.5,GAPDH,Test,21.1493917108318,0.91,Pass,0.054349316579291
S41-A24,no preamp,Unknown,0.5,GAPDH,Test,20.5835377471085,0.93,Pass,0.054349316579291
S41-A25,no preamp,Unknown,0.5,HPRT,Test,28.5513259080786,0.9,Pass,0.054349316579291
S41-A26,no preamp,Unknown,0.5,HPRT,Test,27.2051076628733,0.86,Pass,0.054349316579291
S41-A27,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S41-A28,no preamp,Unknown,0.5,HPRT,Test,27.066891162588,0.9,Pass,0.054349316579291
S41-A29,no preamp,Unknown,0.5,HPRT,Test,29.2068899498709,0.89,Pass,0.054349316579291
S41-A30,no preamp,Unknown,0.5,HPRT,Test,27.449143975274,0.89,Pass,0.054349316579291
S41-A31,no preamp,Unknown,0.5,HPRT,Test,28.6886731715766,0.89,Pass,0.054349316579291
S41-A32,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S41-A33,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S41-A34,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S41-A35,no preamp,Unknown,0.5,HPRT,Test,28.3814601724232,0.88,Pass,0.054349316579291
S41-A36,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S41-A37,no preamp,Unknown,0.5,SDHA,Test,30.7024683920396,0.84,Pass,0.054349316579291
S41-A38,no preamp,Unknown,0.5,SDHA,Test,28.282677279984,0.86,Pass,0.054349316579291
S41-A39,no preamp,Unknown,0.5,SDHA,Test,30.3296675010565,0.73,Pass,0.054349316579291
S41-A40,no preamp,Unknown,0.5,SDHA,Test,30.3919359554873,0.82,Pass,0.054349316579291
S41-A41,no preamp,Unknown,0.5,SDHA,Test,30.8911750383245,0.83,Pass,0.054349316579291
S41-A42,no preamp,Unknown,0.5,SDHA,Test,999,0,Fail,0.054349316579291
S41-A43,no preamp,Unknown,0.5,SDHA,Test,29.4317622600192,0.83,Pass,0.054349316579291
S41-A44,no preamp,Unknown,0.5,SDHA,Test,30.0458109893932,0.87,Pass,0.054349316579291
S41-A45,no preamp,Unknown,0.5,SDHA,Test,999,0,Fail,0.054349316579291
S41-A46,no preamp,Unknown,0.5,SDHA,Test,29.9389183253671,0.87,Pass,0.054349316579291
S41-A47,no preamp,Unknown,0.5,SDHA,Test,27.9958401875301,0.84,Pass,0.054349316579291
S41-A48,no preamp,Unknown,0.5,SDHA,Test,29.3397651462407,0.84,Pass,0.054349316579291
S08-A01,preamp 1:10,Unknown,5,b actin,Test,12.5543155789477,0.85,Pass,0.054349316579291
S08-A02,preamp 1:10,Unknown,5,b actin,Test,12.9216940342029,0.84,Pass,0.054349316579291
S08-A03,preamp 1:10,Unknown,5,b actin,Test,12.7155221736547,0.86,Pass,0.054349316579291
S08-A04,preamp 1:10,Unknown,5,b actin,Test,12.9884473411828,0.87,Pass,0.054349316579291
S08-A05,preamp 1:10,Unknown,5,b actin,Test,12.6234321284332,0.83,Pass,0.054349316579291
S08-A06,preamp 1:10,Unknown,5,b actin,Test,12.3659896840505,0.85,Pass,0.054349316579291
S08-A07,preamp 1:10,Unknown,5,b actin,Test,12.7755260577378,0.83,Pass,0.054349316579291
S08-A08,preamp 1:10,Unknown,5,b actin,Test,12.7113651378291,0.86,Pass,0.054349316579291
S08-A09,preamp 1:10,Unknown,5,b actin,Test,12.6300309618899,0.84,Pass,0.054349316579291
S08-A10,preamp 1:10,Unknown,5,b actin,Test,13.014815111955,0.84,Pass,0.054349316579291
S08-A11,preamp 1:10,Unknown,5,b actin,Test,12.8914648435062,0.84,Pass,0.054349316579291
S08-A12,preamp 1:10,Unknown,5,b actin,Test,12.5421238107591,0.85,Pass,0.054349316579291
S08-A13,preamp 1:10,Unknown,5,GAPDH,Test,9.73656024553228,0.77,Pass,0.054349316579291
S08-A14,preamp 1:10,Unknown,5,GAPDH,Test,9.64663357037682,0.77,Pass,0.054349316579291
S08-A15,preamp 1:10,Unknown,5,GAPDH,Test,9.32308336399399,0.77,Pass,0.054349316579291
S08-A16,preamp 1:10,Unknown,5,GAPDH,Test,9.78824188211716,0.75,Pass,0.054349316579291
S08-A17,preamp 1:10,Unknown,5,GAPDH,Test,9.64395549523601,0.76,Pass,0.054349316579291
S08-A18,preamp 1:10,Unknown,5,GAPDH,Test,9.23855866335428,0.77,Pass,0.054349316579291
S08-A19,preamp 1:10,Unknown,5,GAPDH,Test,9.70688901363903,0.76,Pass,0.054349316579291
S08-A20,preamp 1:10,Unknown,5,GAPDH,Test,9.51315355592811,0.77,Pass,0.054349316579291
S08-A21,preamp 1:10,Unknown,5,GAPDH,Test,9.23639109194788,0.77,Pass,0.054349316579291
S08-A22,preamp 1:10,Unknown,5,GAPDH,Test,9.73814632381338,0.75,Pass,0.054349316579291
S08-A23,preamp 1:10,Unknown,5,GAPDH,Test,9.39902412447654,0.77,Pass,0.054349316579291
S08-A24,preamp 1:10,Unknown,5,GAPDH,Test,9.22445221808977,0.76,Pass,0.054349316579291
S08-A25,preamp 1:10,Unknown,5,HPRT,Test,15.3553255559793,0.9,Pass,0.054349316579291
S08-A26,preamp 1:10,Unknown,5,HPRT,Test,15.2574558411646,0.9,Pass,0.054349316579291
S08-A27,preamp 1:10,Unknown,5,HPRT,Test,15.1106681287147,0.85,Pass,0.054349316579291
S08-A28,preamp 1:10,Unknown,5,HPRT,Test,15.1673942221792,0.86,Pass,0.054349316579291
S08-A29,preamp 1:10,Unknown,5,HPRT,Test,15.506201799673,0.86,Pass,0.054349316579291
S08-A30,preamp 1:10,Unknown,5,HPRT,Test,15.3596939082633,0.86,Pass,0.054349316579291
S08-A31,preamp 1:10,Unknown,5,HPRT,Test,15.2651356401257,0.86,Pass,0.054349316579291
S08-A32,preamp 1:10,Unknown,5,HPRT,Test,15.2495470648871,0.83,Pass,0.054349316579291
S08-A33,preamp 1:10,Unknown,5,HPRT,Test,15.2084070888106,0.82,Pass,0.054349316579291
S08-A34,preamp 1:10,Unknown,5,HPRT,Test,15.474528393969,0.91,Pass,0.054349316579291
S08-A35,preamp 1:10,Unknown,5,HPRT,Test,15.1988077392833,0.86,Pass,0.054349316579291
S08-A36,preamp 1:10,Unknown,5,HPRT,Test,14.9170488833424,0.88,Pass,0.054349316579291
S08-A37,preamp 1:10,Unknown,5,SDHA,Test,16.9802652048039,0.94,Pass,0.054349316579291
S08-A38,preamp 1:10,Unknown,5,SDHA,Test,16.5962522357152,0.94,Pass,0.054349316579291
S08-A39,preamp 1:10,Unknown,5,SDHA,Test,16.2330077074805,0.91,Pass,0.054349316579291
S08-A40,preamp 1:10,Unknown,5,SDHA,Test,16.8136427820614,0.9,Pass,0.054349316579291
S08-A41,preamp 1:10,Unknown,5,SDHA,Test,16.3130293007614,0.9,Pass,0.054349316579291
S08-A42,preamp 1:10,Unknown,5,SDHA,Test,16.3593564719523,0.94,Pass,0.054349316579291
S08-A43,preamp 1:10,Unknown,5,SDHA,Test,16.6964999116944,0.91,Pass,0.054349316579291
S08-A44,preamp 1:10,Unknown,5,SDHA,Test,16.4797894829026,0.92,Pass,0.054349316579291
S08-A45,preamp 1:10,Unknown,5,SDHA,Test,16.4138850918391,0.92,Pass,0.054349316579291
S08-A46,preamp 1:10,Unknown,5,SDHA,Test,16.4751566496027,0.92,Pass,0.054349316579291
S08-A47,preamp 1:10,Unknown,5,SDHA,Test,16.2693037267758,0.92,Pass,0.054349316579291
S08-A48,preamp 1:10,Unknown,5,SDHA,Test,16.0021569639638,0.94,Pass,0.054349316579291
S40-A01,no preamp,Unknown,0.5,b actin,Test,26.790916421265,0.9,Pass,0.054349316579291
S40-A02,no preamp,Unknown,0.5,b actin,Test,27.549228374174,0.88,Pass,0.054349316579291
S40-A03,no preamp,Unknown,0.5,b actin,Test,27.5861536878617,0.88,Pass,0.054349316579291
S40-A04,no preamp,Unknown,0.5,b actin,Test,26.8261281107995,0.87,Pass,0.054349316579291
S40-A05,no preamp,Unknown,0.5,b actin,Test,26.5239685587267,0.88,Pass,0.054349316579291
S40-A06,no preamp,Unknown,0.5,b actin,Test,25.376006895351,0.87,Pass,0.054349316579291
S40-A07,no preamp,Unknown,0.5,b actin,Test,25.92566625649,0.87,Pass,0.054349316579291
S40-A08,no preamp,Unknown,0.5,b actin,Test,26.6575576775748,0.77,Pass,0.054349316579291
S40-A09,no preamp,Unknown,0.5,b actin,Test,27.3204367879907,0.87,Pass,0.054349316579291
S40-A10,no preamp,Unknown,0.5,b actin,Test,27.0008360496671,0.86,Pass,0.054349316579291
S40-A11,no preamp,Unknown,0.5,b actin,Test,26.763301536601,0.87,Pass,0.054349316579291
S40-A12,no preamp,Unknown,0.5,b actin,Test,25.7380925114325,0.87,Pass,0.054349316579291
S40-A13,no preamp,Unknown,0.5,GAPDH,Test,21.0684692336175,0.94,Pass,0.054349316579291
S40-A14,no preamp,Unknown,0.5,GAPDH,Test,21.0506490711319,0.94,Pass,0.054349316579291
S40-A15,no preamp,Unknown,0.5,GAPDH,Test,20.9095973638981,0.93,Pass,0.054349316579291
S40-A16,no preamp,Unknown,0.5,GAPDH,Test,21.4235359893396,0.94,Pass,0.054349316579291
S40-A17,no preamp,Unknown,0.5,GAPDH,Test,21.0588677628023,0.94,Pass,0.054349316579291
S40-A18,no preamp,Unknown,0.5,GAPDH,Test,20.765842773046,0.93,Pass,0.054349316579291
S40-A19,no preamp,Unknown,0.5,GAPDH,Test,21.0305956406121,0.94,Pass,0.054349316579291
S40-A20,no preamp,Unknown,0.5,GAPDH,Test,20.8889793572377,0.93,Pass,0.054349316579291
S40-A21,no preamp,Unknown,0.5,GAPDH,Test,20.9525304138945,0.93,Pass,0.054349316579291
S40-A22,no preamp,Unknown,0.5,GAPDH,Test,21.2982290879097,0.94,Pass,0.054349316579291
S40-A23,no preamp,Unknown,0.5,GAPDH,Test,20.6812569583774,0.94,Pass,0.054349316579291
S40-A24,no preamp,Unknown,0.5,GAPDH,Test,20.6633571207428,0.93,Pass,0.054349316579291
S40-A25,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S40-A26,no preamp,Unknown,0.5,HPRT,Test,27.5604642553752,0.89,Pass,0.054349316579291
S40-A27,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S40-A28,no preamp,Unknown,0.5,HPRT,Test,26.0932062230866,0.9,Pass,0.054349316579291
S40-A29,no preamp,Unknown,0.5,HPRT,Test,29.5170697626065,0.89,Pass,0.054349316579291
S40-A30,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S40-A31,no preamp,Unknown,0.5,HPRT,Test,28.4353721534984,0.9,Pass,0.054349316579291
S40-A32,no preamp,Unknown,0.5,HPRT,Test,28.6018331197096,0.89,Pass,0.054349316579291
S40-A33,no preamp,Unknown,0.5,HPRT,Test,28.546295080571,0.89,Pass,0.054349316579291
S40-A34,no preamp,Unknown,0.5,HPRT,Test,999,0,Fail,0.054349316579291
S40-A35,no preamp,Unknown,0.5,HPRT,Test,28.3422642459972,0.89,Pass,0.054349316579291
S40-A36,no preamp,Unknown,0.5,HPRT,Test,26.8040100928086,0.88,Pass,0.054349316579291
S40-A37,no preamp,Unknown,0.5,SDHA,Test,30.1381981556862,0.85,Pass,0.054349316579291
S40-A38,no preamp,Unknown,0.5,SDHA,Test,30.8916353892249,0.86,Pass,0.054349316579291
S40-A39,no preamp,Unknown,0.5,SDHA,Test,30.5168318488643,0.84,Pass,0.054349316579291
S40-A40,no preamp,Unknown,0.5,SDHA,Test,29.469816572221,0.81,Pass,0.054349316579291
S40-A41,no preamp,Unknown,0.5,SDHA,Test,29.9366667856562,0.84,Pass,0.054349316579291
S40-A42,no preamp,Unknown,0.5,SDHA,Test,31.5490753743195,0.87,Pass,0.054349316579291
S40-A43,no preamp,Unknown,0.5,SDHA,Test,999,0,Fail,0.054349316579291
S40-A44,no preamp,Unknown,0.5,SDHA,Test,30.0507838741717,0.83,Pass,0.054349316579291
S40-A45,no preamp,Unknown,0.5,SDHA,Test,30.6659838036195,0.86,Pass,0.054349316579291
S40-A46,no preamp,Unknown,0.5,SDHA,Test,30.7389351919598,0.79,Pass,0.054349316579291
S40-A47,no preamp,Unknown,0.5,SDHA,Test,999,0,Fail,0.054349316579291
S40-A48,no preamp,Unknown,0.5,SDHA,Test,28.355337451733,0.87,Pass,0.054349316579291
S07-A01,preamp 1:10,Unknown,5,b actin,Test,12.8980445740344,0.88,Pass,0.054349316579291
S07-A02,preamp 1:10,Unknown,5,b actin,Test,13.0355549427275,0.84,Pass,0.054349316579291
S07-A03,preamp 1:10,Unknown,5,b actin,Test,12.9799404902319,0.87,Pass,0.054349316579291
S07-A04,preamp 1:10,Unknown,5,b actin,Test,13.2347409285603,0.83,Pass,0.054349316579291
S07-A05,preamp 1:10,Unknown,5,b actin,Test,12.7515678454552,0.84,Pass,0.054349316579291
S07-A06,preamp 1:10,Unknown,5,b actin,Test,12.5863237296258,0.86,Pass,0.054349316579291
S07-A07,preamp 1:10,Unknown,5,b actin,Test,13.0558772033286,0.84,Pass,0.054349316579291
